,artist_name,pop_artist,tot_followers,track_name,avail_mark,rel_date,pop_track,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,hit,featuring,search,rel_month,rel_day,week_day_out
0,The Weeknd,96,35101848,Blinding Lights,178,2020-03-20,92,0.00146,0.514,200040,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334,1,0,The Weeknd Blinding Lights,3,20,4
1,Post Malone,93,33582906,Circles,173,2019-09-06,87,0.192,0.695,215280,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,0.553,1,0,Post Malone Circles,9,6,4
2,Roddy Ricch,88,6575724,The Box,178,2019-12-06,84,0.104,0.896,196653,0.586,0.0,0.79,-6.687,0.0559,116.971,4,0.642,1,0,Roddy Ricch The Box,12,6,4
3,Various Artists,0,1244844,Don't Start Now,127,2021-08-06,3,0.0123,0.793,183290,0.793,0.0,0.0951,-4.521,0.083,123.95,4,0.679,1,0,Various Artists Don't Start Now,8,6,4
4,DaBaby,94,7544268,ROCKSTAR (feat. Roddy Ricch),178,2020-04-17,86,0.247,0.746,181733,0.69,0.0,0.101,-7.956,0.164,89.977,4,0.497,1,1,DaBaby ROCKSTAR (feat. Roddy Ricch),4,17,4
5,Harry Styles,88,16022871,Adore You,178,2019-12-13,84,0.0237,0.676,207133,0.771,7e-06,0.102,-3.675,0.0483,99.048,4,0.569,1,0,Harry Styles Adore You,12,13,4
6,Future,91,10469569,Life Is Good (feat. Drake),178,2020-01-10,81,0.0706,0.676,237735,0.609,0.0,0.152,-5.831,0.481,142.037,4,0.508,1,1,Future Life Is Good (feat. Drake),1,10,4
7,Maroon 5,91,32165441,Memories,178,2021-06-11,85,0.841,0.775,189486,0.327,0.0,0.0821,-7.241,0.0557,91.05,4,0.595,1,0,Maroon 5 Memories,6,11,4
8,Maren Morris,80,590716,The Bones,178,2019-03-08,77,0.278,0.612,197293,0.57,0.0,0.0963,-6.642,0.0347,77.004,4,0.334,1,0,Maren Morris The Bones,3,8,4
9,Lewis Capaldi,85,8354583,Someone You Loved,178,2019-05-17,86,0.751,0.501,182161,0.405,0.0,0.105,-5.679,0.0319,109.891,4,0.446,1,0,Lewis Capaldi Someone You Loved,5,17,4
10,Doja Cat,97,8462405,Say So,178,2019-11-07,82,0.256,0.787,237893,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4,0.786,1,0,Doja Cat Say So,11,7,3
11,Gabby Barrett,71,172981,I Hope,178,2020-06-19,76,0.0951,0.466,210773,0.536,0.0,0.114,-6.227,0.0429,75.998,4,0.377,1,0,Gabby Barrett I Hope,6,19,4
12,Tory Lanez,85,3815280,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",178,2020-06-24,80,0.0631,0.904,227478,0.723,0.0,0.185,-5.224,0.26,145.013,4,0.835,1,1,"Tory Lanez WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",6,24,2
13,Tones And I,81,2814963,Dance Monkey,176,2019-10-17,83,0.692,0.824,209438,0.588,0.000104,0.149,-6.4,0.0924,98.027,4,0.513,1,0,Tones And I Dance Monkey,10,17,3
14,Megan Thee Stallion,89,4747724,Savage,178,2020-03-06,75,0.0252,0.843,155497,0.741,0.0,0.096,-5.609,0.334,168.983,4,0.68,1,0,Megan Thee Stallion Savage,3,6,4
15,Arizona Zervas,75,620087,ROXANNE,178,2019-10-10,82,0.0522,0.621,163636,0.601,0.0,0.46,-5.616,0.148,116.735,5,0.457,1,0,Arizona Zervas ROXANNE,10,10,3
16,Justin Bieber,98,48265045,Intentions (feat. Quavo),178,2020-02-14,77,0.3,0.806,212867,0.546,0.0,0.102,-6.637,0.0575,147.986,4,0.874,1,1,Justin Bieber Intentions (feat. Quavo),2,14,4
17,Billie Eilish,96,46741669,everything i wanted,178,2019-11-13,82,0.902,0.704,245426,0.225,0.657,0.106,-14.454,0.0994,120.006,4,0.243,1,0,Billie Eilish everything i wanted,11,13,2
18,SAINt JHN,80,741235,Roses - Imanbek Remix,1,2020-11-20,72,0.0143,0.769,176867,0.719,0.00777,0.359,-5.472,0.0474,121.955,4,0.863,1,0,SAINt JHN Roses - Imanbek Remix,11,20,4
19,Harry Styles,88,16022871,Watermelon Sugar,178,2019-12-13,90,0.122,0.548,174000,0.816,0.0,0.335,-4.209,0.0465,95.39,4,0.557,1,0,Harry Styles Watermelon Sugar,12,13,4
20,Lewis Capaldi,85,8354583,Before You Go,178,2019-11-22,83,0.604,0.459,215107,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,0.183,1,0,Lewis Capaldi Before You Go,11,22,4
21,Trevor Daniel,76,629723,Falling,178,2018-10-05,80,0.123,0.785,159382,0.431,0.0,0.0887,-8.756,0.0364,127.085,4,0.236,1,0,Trevor Daniel Falling,10,5,4
22,Dan + Shay,81,2324811,"10,000 Hours (with Justin Bieber)",178,2019-10-04,82,0.153,0.654,167693,0.63,0.0,0.111,-4.644,0.0259,89.991,4,0.43,1,0,"Dan + Shay 10,000 Hours (with Justin Bieber)",10,4,4
23,Cardi B,88,17275552,WAP (feat. Megan Thee Stallion),178,2020-08-07,84,0.0194,0.935,187541,0.454,0.0,0.0824,-7.509,0.375,133.073,4,0.357,1,1,Cardi B WAP (feat. Megan Thee Stallion),8,7,4
24,Mustard,80,879920,Ballin' (with Roddy Ricch),173,2019-06-28,80,0.392,0.809,180435,0.545,0.0,0.151,-6.678,0.0735,97.008,4,0.244,1,0,Mustard Ballin' (with Roddy Ricch),6,28,4
25,blackbear,87,4255538,hot girl bummer,178,2020-08-21,83,0.125,0.782,188344,0.559,0.0,0.385,-7.106,0.0767,129.992,1,0.685,1,0,blackbear hot girl bummer,8,21,4
26,Lil Mosey,80,3800827,Blueberry Faygo,178,2020-02-07,79,0.207,0.774,162547,0.554,0.0,0.132,-7.909,0.0383,99.034,4,0.349,1,0,Lil Mosey Blueberry Faygo,2,7,4
27,The Weeknd,96,35101848,Heartless,178,2020-03-20,76,0.0236,0.537,198267,0.746,1.01e-06,0.156,-5.507,0.15,170.062,4,0.252,1,0,The Weeknd Heartless,3,20,4
28,DaBaby,94,7544268,BOP,173,2019-09-27,80,0.189,0.769,159715,0.787,0.0,0.129,-3.909,0.367,126.77,4,0.836,1,0,DaBaby BOP,9,27,4
29,Selena Gomez,87,28781729,Lose You To Love Me,173,2020-01-10,81,0.556,0.488,206459,0.343,0.0,0.21,-8.985,0.0436,102.819,4,0.0978,1,0,Selena Gomez Lose You To Love Me,1,10,4
30,Lizzo,78,3969090,Good as Hell,178,2019-04-17,73,0.256,0.682,159736,0.919,0.0,0.442,-3.18,0.0875,95.982,4,0.535,1,0,Lizzo Good as Hell,4,17,2
31,Drake,98,56206656,Toosie Slide,178,2020-04-03,78,0.321,0.834,247059,0.454,6.15e-06,0.114,-9.75,0.201,81.618,4,0.837,1,0,Drake Toosie Slide,4,3,4
32,Dua Lipa,95,26995551,Break My Heart,174,2020-03-27,80,0.167,0.73,221820,0.729,1.39e-06,0.349,-3.434,0.0884,113.011,4,0.467,1,0,Dua Lipa Break My Heart,3,27,4
33,Morgan Wallen,87,2122158,Chasin' You,178,2018-04-27,76,0.657,0.631,205453,0.591,0.0,0.11,-5.785,0.0277,97.074,4,0.489,1,0,Morgan Wallen Chasin' You,4,27,4
