,Year,Title,Artist Name,Artist ID
0,2008,b'Je Sais Que La Terre Est Plate',b'Rapha\xc3\xabl',b'AREJXK41187B9A4ACC'
1,2004,b'On Efface',b'Julie Zenatti',b'AR2XRFQ1187FB417FE'
2,0,b'Howells Delight',b'The Baltimore Consort',b'ARODOO01187FB44F4A'
3,2007,b'Martha Served',b'I Hate Sally',b'ARJGW911187FB586CA'
4,0,b'Zip-A-Dee-Doo-Dah (Song of the South)',b'Orlando Pops Orchestra',b'AR9HQ6Y1187FB3C2CB'
5,0,b'Liquid Time (composition by John Goodsall)',b'Brand X',b'ARDPTGD1187B9AD361'
6,0,b'Misery Path (From the Privilege of Evil)',b'Amorphis',b'ARV8T9T1187B99F3F4'
7,0,b'Nuovi Re pt. I I (feat. Tek money - Lady Tambler)',b'Inoki',b'ARJ5BEW1187FB52361'
8,1982,b'Halloween',b'Dead Kennedys',b'AR050VJ1187B9B13A7'
9,1998,b'Parto em terras distantes',b'Brigada Victor Jara',b'AR8KUS11187B98C991'
10,2004,b'You Eclipsed By Me (Album Version)',b'Atreyu',b'ARMOHN71187FB3959F'
11,2005,b'Shovel',b'Mistress',b'ARQ0HOT1187B9A25FA'
12,2004,b'What Drives The Weak',b'Shadows Fall',b'ARK8OHG1187B99016A'
13,0,b'Life Force',b'Vanessa Daou',b'ARZFRQM1187B9A9772'
14,2001,b'The Dance Of Europe',b'Dave Brockie Experience',b'ARQFKVO1187B9B1777'
15,0,b'Spoonie Is Back',b'Spoonie Gee',b'ARB2M051187FB56FA9'
16,1982,b'Blood Round Dance Song (World)',b'R. Carlos Nakai',b'AREJ5K11187B993F5F'
17,2000,b'Crawling (Album Version)',b'Linkin Park',b'ARQUMH41187B9AF699'
18,0,b'Bennie',b'Koffi Olomid\xc3\xa9',b'ARCQ3LZ1187FB49B42'
19,0,b'Playa del sous-sol',b'Alain-Fran\xc3\xa7ois',b'ARWNTXK11EBCD7BBFB'
20,0,b'Fascinating Rhythm (Instrumental) (2007 Digital Remaster)',b'Billy May & His Orchestra',b'AR7SVRP1187FB55875'
21,1981,"b""I'm Not Moving""",b'Phil Collins',b'AR9W3X91187FB3994C'
22,0,b'Grand Fr\xc3\xa8re',b'Philippe Sarde',b'ARWNRBH1187B9B7E68'
23,2004,b'Up Above My Head',b'Sister Rosetta Tharpe & Marie',b'AR6TD9K1187B9A207D'
24,0,b'Columbia',b'Oasis',b'ARBUOOR1187B997391'
25,0,b'Radar For Love',b'Kiss',b'ARMI8BW1187FB57B2E'
26,1973,b'Antarctica Starts Here',b'John Cale',b'ARUI8651187B9ACF52'
27,0,b'Out In The Street (Live) (2008 Digital Remaster)',b'UFO',b'AROATPL1187FB48E12'
28,2007,b'Heavy On My Mind (Album Version)',b'Back Door Slam',b'AR531IG1187FB59B35'
29,0,b'Everyone make love',b'Cool cavemen',b'ARYZ1NG1187FB3FD40'
30,2008,b'Calm Da Seas',b'Dave Hollister',b'ARXP7MQ1187FB3AC5F'
31,0,b'Ran Kan Kan',b'Nestor Torres',b'ARXJSHW1187B9A2A52'
32,1963,b'I Found You',b'The Impressions',b'ARCT5P61187FB3D950'
33,2003,b'Afraid Of Change (Tribal Vocal Mix)',b'Casa Bulga',b'ARSQFIK11F50C4D038'
34,0,b'Grow Up_ Grow Old',b'Debbie Davies',b'AR7OCK81187B98D1F1'
35,0,b'Walk Away From Love',b'Willie Clayton',b'ARUG6DV1187B992475'
36,2001,b'Rainbow Country (Red Gold And Green Version)',b'Bob Marley & The Wailers',b'ARAZCWP129462A97F1'
37,2004,b'Strange Things',b'Tanto Metro & Devonte',b'AR202MX1187B9B0383'
38,0,"b""Screamin' & Hollerin' The Blues""",b'Alvin Youngblood Hart',b'ARCLJQZ11E2835CE37'
39,0,b'Dholna Dholna',b'Naseebo Lal',b'ARBY23A1187B9A82E4'
40,2004,b'Parchman Farm',b'Hot Tuna',b'AREOGMA1187B9908EF'
41,2007,b'A Lo Clasico',b'Daddy Yankee',b'ARBNXYA1187FB51C50'
42,0,b'Zhi Xiang Ni hui Yi',b'Hacken Lee',b'ARFERPC1187FB557F6'
43,0,b'Amaze',b'Jimmy Riley',b'ARD3ICK1187B9A56C9'
